['1', 'Toy Story (1995)', 'Animation|Children|Comedy'] 4.27753094302
['2', 'Jumanji (1995)', 'Adventure|Children|Fantasy'] 4.21383854124
['3', 'Grumpier Old Men (1995)', 'Comedy|Romance'] 4.53385444268
['4', 'Waiting to Exhale (1995)', 'Comedy|Drama'] 3.26270766179
['5', 'Father of the Bride Part II (1995)', 'Comedy'] 5
['6', 'Heat (1995)', 'Action|Crime|Thriller'] 2.9043763108
['7', 'Sabrina (1995)', 'Comedy|Romance'] 3.94619744531
['8', 'Tom and Huck (1995)', 'Adventure|Children'] 3.52254583893
['10', 'GoldenEye (1995)', 'Action|Adventure|Thriller'] 3.88358835131
['11', 'American President, The (1995)', 'Comedy|Drama|Romance'] 4.82007897455
['14', 'Nixon (1995)', 'Drama'] 4.50883435997
['15', 'Cutthroat Island (1995)', 'Action|Adventure|Romance'] 2.69232010611
['16', 'Casino (1995)', 'Drama|Thriller'] 4.26177763874
['17', 'Sense and Sensibility (1995)', 'Drama|Romance'] 4.02603726416
['18', 'Four Rooms (1995)', 'Thriller'] 3.29771203689
['19', 'Ace Ventura: When Nature Calls (1995)', 'Comedy'] 3.86040872341
['20', 'Money Train (1995)', 'Action'] 3.4128440367
['21', 'Get Shorty (1995)', 'Action|Comedy|Drama'] 3.94215827195
['22', 'Copycat (1995)', 'Crime|Drama|Thriller'] 2.10457150713
['24', 'Powder (1995)', 'Drama|Sci-Fi'] 2.71725232629
['25', 'Leaving Las Vegas (1995)', 'Drama|Romance'] 3.15553845571
['27', 'Now and Then (1995)', 'Drama'] 4.0
['28', 'Persuasion (1995)', 'Romance'] 4.11931427995
['29', 'City of Lost Children, The (1995)', 'Adventure|Sci-Fi'] 3.82336284419
['30', 'Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)', 'Drama'] 3.62155971486
['31', 'Dangerous Minds (1995)', 'Drama'] 3.69792228818
['32', 'Twelve Monkeys (1995)', 'Drama|Sci-Fi'] 4.22935335838
['34', 'Babe (1995)', 'Children|Comedy|Drama'] 3.05579044883
['35', 'Carrington (1995)', 'Drama|Romance'] 2.6464761736
['36', 'Dead Man Walking (1995)', 'Drama'] 3.65616650796
['39', 'Clueless (1995)', 'Comedy|Romance'] 4.20191706717
['40', 'Cry, the Beloved Country (1995)', 'Drama'] 3.26270766179
['41', 'Richard III (1995)', 'Drama|War'] 4.0951669231
['42', 'Dead Presidents (1995)', 'Action|Crime|Drama'] 3.47323725116
['43', 'Restoration (1995)', 'Drama'] 4.08430336367
['44', 'Mortal Kombat (1995)', 'Action|Adventure'] 3.92063667514
['45', 'To Die For (1995)', 'Comedy|Drama'] 3.14606948972
['46', 'How to Make an American Quilt (1995)', 'Drama|Romance'] 3.29548885017
['47', 'Seven (Se7en) (1995)', 'Crime|Thriller'] 4.19794459143
['48', 'Pocahontas (1995)', 'Animation|Children|Musical|Romance'] 3.81443152193
['50', 'Usual Suspects, The (1995)', 'Crime|Thriller'] 4.55970424073
['52', 'Mighty Aphrodite (1995)', 'Comedy'] 4.39979446695
['57', 'Home for the Holidays (1995)', 'Drama'] 4.26270766179
['58', 'Postino, Il (The Postman) (1994)', 'Drama|Romance'] 3.2803152846
['60', 'Indian in the Cupboard, The (1995)', 'Adventure|Children|Fantasy'] 3.4128440367
['62', "Mr. Holland's Opus (1995)", 'Drama'] 4.24464797604
['63', "Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)", 'Comedy'] 3.85805300714
['67', 'Two Bits (1995)', 'Drama'] 3.4128440367
['68', 'French Twist (Gazon maudit) (1995)', 'Comedy|Romance'] 3.77803642339
['70', 'From Dusk Till Dawn (1996)', 'Action|Comedy|Crime|Horror|Thriller'] 4.16587671845
['71', 'Fair Game (1995)', 'Action'] 2.61027522936
['72', 'Kicking and Screaming (1995)', 'Comedy|Drama'] 3.62881571278
['73', 'Mis\xe9rables, Les (1995)', 'Drama|Musical'] 3.21583531616
['74', 'Bed of Roses (1996)', 'Drama|Romance'] 2.6805711749
['76', 'Screamers (1995)', 'Sci-Fi|Thriller'] 3.2639376181
['79', 'Juror, The (1996)', 'Drama|Thriller'] 1.0
['80', 'White Balloon, The (Badkonake Sefid ) (1995)', 'Drama'] 3.4128440367
['81', "Things to Do in Denver when You're Dead (1995)", 'Crime|Drama|Romance'] 3.19079470998
['82', "Antonia's Line (Antonia) (1995)", 'Drama'] 4.4694681062
['83', 'Once Upon a Time... When We Were Colored (1995)', 'Drama'] 3.26270766179
['84', 'Last Summer in the Hamptons (1995)', 'Comedy|Drama'] 4.05254153236
['85', 'Angels and Insects (1995)', 'Drama|Romance'] 1.87042470024
['86', 'White Squall (1996)', 'Adventure|Drama'] 2.56451658433
['88', 'Black Sheep (1996)', 'Comedy'] 4.08292476309
['89', 'Nick of Time (1995)', 'Action|Thriller'] 2.84723589942
['92', 'Mary Reilly (1996)', 'Drama|Thriller'] 1.88256880734
['93', 'Vampire in Brooklyn (1995)', 'Comedy|Romance'] 3.4128440367
['94', 'Beautiful Girls (1996)', 'Drama'] 3.66903568839
['95', 'Broken Arrow (1996)', 'Action|Thriller'] 2.31578567693
['97', 'Hate (Haine, La) (1995)', 'Drama'] 4.02501207146
['98', 'Shopping (1994)', 'Action|Thriller'] 0.0
['100', 'City Hall (1996)', 'Drama|Thriller'] 2.2224065972
['101', 'Bottle Rocket (1996)', 'Comedy'] 4.1899904908
['104', 'Happy Gilmore (1996)', 'Comedy'] 4.33167471698
['105', 'Bridges of Madison County, The (1995)', 'Drama|Romance'] 2.74790638997
['107', 'Muppet Treasure Island (1996)', 'Adventure|Children|Comedy|Musical'] 4.08387733518
['110', 'Braveheart (1995)', 'Action|Drama|War'] 4.31437510442
['111', 'Taxi Driver (1976)', 'Drama|Thriller'] 4.2108726201
['112', 'Rumble in the Bronx (1995)', 'Action|Adventure|Crime'] 4.83442317591
['117', "Young Poisoner's Handbook, The (1995)", 'Crime'] 3.78388995136
['118', 'If Lucy Fell (1996)', 'Comedy|Romance'] 5
['123', 'Chungking Express (1994)', 'Drama|Mystery|Romance'] 3.15276815409
['125', 'Flirting With Disaster (1996)', 'Comedy'] 3.78667789941
['129', 'Pie in the Sky (1995)', 'Comedy|Romance'] 3.26966916875
['140', 'Up Close and Personal (1996)', 'Drama|Romance'] 2.66302280028
['141', 'Birdcage, The (1996)', 'Comedy'] 5
['144', 'Brothers McMullen, The (1995)', 'Comedy'] 3.57582966016
['145', 'Bad Boys (1995)', 'Action'] 3.7384562034
['148', 'Awfully Big Adventure, An (1995)', 'Drama'] 4.0885169876
['150', 'Apollo 13 (1995)', 'Drama'] 4.19497830916
['151', 'Rob Roy (1995)', 'Drama|Romance|War'] 2.90915893766
['153', 'Batman Forever (1995)', 'Action|Adventure|Comedy|Crime'] 2.01613485222
['154', 'Belle de jour (1967)', 'Drama'] 4.162659997
['157', 'Canadian Bacon (1994)', 'Comedy|War'] 4.14363307207
['158', 'Casper (1995)', 'Adventure|Children'] 4.559455992
['159', 'Clockers (1995)', 'Drama'] 4.02501207146
['160', 'Congo (1995)', 'Action|Adventure|Mystery|Sci-Fi'] 1.17647058824
['161', 'Crimson Tide (1995)', 'Drama|Thriller|War'] 4.02813977149
['162', 'Crumb (1994)', 'Documentary'] 4.01324081499
['163', 'Desperado (1995)', 'Action|Romance|Thriller'] 3.84058454638
['164', 'Devil in a Blue Dress (1995)', 'Crime|Film-Noir|Mystery|Thriller'] 3.83218350842
['165', 'Die Hard: With a Vengeance (1995)', 'Action|Thriller'] 2.42055259648
['166', 'Doom Generation, The (1995)', 'Comedy|Drama'] 1.0
['168', 'First Knight (1995)', 'Action|Adventure|Drama|Romance'] 2.1805711749
['169', 'Free Willy 2: The Adventure Home (1995)', 'Adventure|Children|Drama'] 1.75
['170', 'Hackers (1995)', 'Action|Crime|Thriller'] 2.48503900309
['171', 'Jeffrey (1995)', 'Comedy'] 3.2370434556
['172', 'Johnny Mnemonic (1995)', 'Action|Sci-Fi|Thriller'] 2.27228522228
['173', 'Judge Dredd (1995)', 'Action|Adventure|Sci-Fi'] 3.0885169876
['175', 'Kids (1995)', 'Drama'] 3.62202125784
['176', 'Living in Oblivion (1995)', 'Comedy'] 3.47668559708
['177', 'Lord of Illusions (1995)', 'Horror'] 3.29771203689
['179', 'Mad Love (1995)', 'Drama|Romance'] 1.0
